week_workout,exercise,exercise_url,warm_up_sets,sets,reps,load,rpe,percent_one_rep_max,rest,sub_1,sub_1_url,sub_2,sub_2_url,notes
,Hanging leg raise,youtu.be/2RrGnjxSsiA?t=247,0,3,10-12,,9,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Lat pull-over,youtu.be/Jlw-Vtypr-Y,1,3,12-15,,8,N/A,1-2 min,,,,,"Can use a cable/rope or band, stretch and squeeze lats!"
,Incline dumbbell curl,youtu.be/3FAvFJ0Vtag,1,3,12-15,,9,N/A,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm"
,Face pull,www.youtube.com/watch?v=qfc70k40318,0,4,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
"Full Body 4: Deadlift, Bench Press",Pause deadlift,youtu.be/KHcTYUf3JEs,4,4,2,,N/A,75%,3-4 min,,,,,3 second pause right after the plates come off the ground
,Pause barbell bench press,www.youtube.com/watch?v=vcBig73ojpE,3,3,5,,N/A,75%,2-3 min,,,,,2-3 second pause on the chest
,Pendlay row,www.youtube.com/watch?v=axoeDmW0oAY,1,3,10,,7,N/A,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Nordic ham curl,www.youtube.com/watch?v=TThU76o0RK4,0,3,6-8,,8,N/A,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl"
,Dumbbell shrug,youtu.be/C6sYjDFuq9I?t=326,0,3,20-25,,9,N/A,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top"
Full Body 5: Arm & Pump Day,EZ bar curl,www.youtube.com/watch?v=i1YgFZB6alI&t,1,3,12,,8,N/A,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.
,A2. Floor skull crusher,youtu.be/popGXI-qs98?t=154,1,3,12,,8,N/A,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you"
,B1. Incline dumbbell curl (reverse 21's),youtu.be/l41CjHBx-eY,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2"
,B2. Triceps pressdown (reverse 21's),youtu.be/p47spIApw0Q,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2"
,C1. Dumbbell lateral raise,www.youtube.com/watch?v=v_ZkxWzYnMc,0,3,20,,9,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,C2. Band pull-apart,youtu.be/bN_lGBqZURw,0,3,20,,9,N/A,30sec,,,,,Mind-muscle connection with rear delts
,C3. Standing calf raise,,0,3,12,,9,N/A,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,C4. Bicycle crunch,youtu.be/2RrGnjxSsiA?t=371,0,3,15,,9,N/A,30sec,,,,,Focus on rounding your back as you crunch hard!
,Neck flexion/extension,www.youtube.com/watch?v=gimeRpdqWQw,1,3,15/15,,8,N/A,1-2 min,,,,,Avoid yanking the plate with your hands
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 2,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Lower #1,Deadlift,,4,3,3,,N/A,80%,3-4 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Sumo box squat,youtu.be/BI-IkWLs-pY,2,2,8,,7,N/A,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)"
,Pull-through,youtu.be/NV8oPOpLsQU,0,3,12-15,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, use your glutes to move the weight"
,Leg curl,youtu.be/e_48W0vlU58,1,3,6-8,,8,N/A,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Standing calf raise,,1,3,8-10,,9,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
Upper #1,Barbell bench press,,4,1,2,,8,85-90%,4-5 min,,,,,Top set. Leave ~2 reps in the tank. Hard set.
,Barbell bench press,,0,3,6,,N/A,77.5%,2-3 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up"
,Chin-up,youtu.be/-d2Uui6MtRk,1,3,8-10,,8,N/A,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE"
,Standing arnold dumbbell press,youtu.be/zOpA1Op0zvc,1,2,10-12,,9,N/A,1-2 min,,,,,Rotate the DBs in at the bottom and out at the top
,Chest-supported dumbbell row,youtu.be/bsx8PIGIuaI,1,2,12-15,,9,N/A,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!
,Face pull,,0,2,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
,Dumbbell lateral raise,,0,2,15-20,,10,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Concentration bicep curl,youtu.be/kr4LtmKn9EE,0,3,12-15,,9,N/A,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench
Lower #2,Back squat,,4,3,6,,N/A,75%,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar"
,Good morning,www.youtube.com/watch?v=f23vXjoG2e8,2,2,10-12,,7,N/A,2-3 min,,,,,"Same as squat stance, keep shins straight, go lighter and ""feel"" hamstrings"
,Leg extension,www.youtube.com/watch?v=ljO4jkwv8wQ,1,3,12-15,,9,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Standing calf raise ,,0,3,15-20,,9,N/A,1-2 min,,,,,Emphasize the mind-muscle connection
,Hip abduction,,0,3,15-20,,9,N/A,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes"
,V sit-up,youtu.be/h-kVpuNoGaA,0,3,12-15,,9,N/A,1-2 min,,,,,Think about squeezing your upper and lower abs together
Upper #2,Overhead press,,3,3,4,,N/A,80%,3-4 min,,,,,"Squeeze your glutes to keep your torso upright, press up and slightly back"
,Single-arm lat pulldown,youtu.be/tQ2LSSP_0GQ?t=437,1,2,10-12,,9,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Close-grip bench press,youtu.be/xGfUcV11x5g,2,2,12,,7,N/A,2-3 min,,,,,"Shoulder width grip, tuck your elbows in closer to your torso"
,Pendlay row,,1,2,10,,7,N/A,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Pec flye,www.youtube.com/watch?v=-EIhKMDSjBY,0,2,15-20,,9,N/A,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM"
,A1. Incline shrug,youtu.be/HsdwUZtGG_0,1,2,15-20,,9,N/A,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!
,A2. Upright row,www.youtube.com/watch?v=nwkLwMRHMQo,1,2,15-20,,9,N/A,30sec,,,,,"Can use cables/rope, bands or dumbbells. Stop ROM once elbows reach shoulder height."
,Barbell skull crusher,www.youtube.com/watch?v=popGXI-qs98,1,2,8-10,,8,N/A,1-2 min,,,,,"Do these on a bench, constant tension on triceps"
Lower #3,"5"" block pull",youtu.be/qOH1ZqkW-hw,4,2,4,,8,N/A,4-5 min,,,,,"Do block pulls from a 5"" block (can stack 45lb + 10lb bumper plates as blocks)"
,Bulgarian split squat,youtu.be/htDXu61MPio,1,2,12,,7,N/A,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads"
,Hip thrust,www.youtube.com/watch?v=xDmFkJxPzeM,1,2,8-10,,7,N/A,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight"
,Seated calf raise ,youtu.be/-qsRtp_PbVM?t=311,0,3,15-20,,9,N/A,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection"
,Hanging leg raise,,0,3,10-12,,8,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Neck flexion/extension,,1,3,12/12,,8,N/A,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)"
Upper #3,"""Flat-back"" barbell bench press",youtu.be/YUrlUUI1iBo,3,3,10,,7,N/A,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.
,Eccentric-accentuated pull-up,www.youtube.com/watch?v=Hdc7Mw6BIEE,1,2,AMRAP,,10,N/A,2-3 min,,,,,"3 second negative on every rep, maintain controlled form for all reps"
,Weighted dip,,2,2,10,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Single-arm row,www.youtube.com/watch?v=djKXLt7kv7Q,1,2,10-12,,9,N/A,2-3 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!"
,EZ bar curl,www.youtube.com/watch?v=i1YgFZB6alI&t,1,3,12-15,,9,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Lean-away lateral raise,youtu.be/0VvQ6olHi4I,0,2,30,,10,N/A,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom"
,Bicycle crunch,,0,2,10-12,,9,N/A,1-2 min,,,,,Keep your hands behind your ears
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 3,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
"Full Body 1: Squat, OHP",Back squat,,4,1,8,,8.5,72.5-77.5%,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Push it!
,Back squat,,0,2,6,,N/A,75%,3-4 min,,,,,Keep back angle and form consistent across all reps
,Overhead press,,2,3,8,,N/A,72.5%,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Glute Ham Raise,,1,2,8-10,,7,N/A,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine"
,Helms row,,1,3,12-15,,9,N/A,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle
,Hammer curl,,0,3,20-25,,10,N/A,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!"
"Full Body 2: Deadlift, Bench Press",Deadlift,,4,4,2,,N/A,85%,3-5 min,,,,,Conventional or sumo: use whatever stance you are stronger with
,Barbell bench press,,3,1,6,,8.5,75-80%,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Push it!
,Barbell bench press,,0,2,8,,N/A,72.5%,2-3 min,,,,,Quick 1 second pause on the chest on each rep
,Hip abduction,,0,2,15-20,,9,N/A,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep"
,Weighted pull-up,,1,3,5-8,,8,N/A,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar"
,Standing calf raise,,1,3,8,,9,N/A,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM"
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,4,4,,N/A,80%,3-4 min,,,,,Maintain tight pressure in your upper back against the bar 
,Weighted dip,,2,3,8,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Hanging leg raise,,0,3,10-12,,9,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Lat pull-over,,1,3,12-15,,8,N/A,1-2 min,,,,,"Can use a DB, cable/rope or band, stretch and squeeze lats!"
,Incline dumbbell curl,,1,2,12-15,,9,N/A,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm"
,Face pull,,0,4,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
"Full Body 4: Deadlift, Bench Press",Pause deadlift,,4,4,2,,N/A,77.5%,3-4 min,,,,,3 second pause right after the plates come off the ground
,Pause barbell bench press,,3,4,5,,N/A,75%,2-3 min,,,,,2-3 second pause on the chest
,Pendlay row,,1,3,10,,7,N/A,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Nordic ham curl,,0,2,6-8,,8,N/A,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl"
,Dumbbell shrug,,0,3,20-25,,9,N/A,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top"
Full Body 5: Arm & Pump Day,EZ bar curl,,1,3,12,,8,N/A,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.
,A2. Floor skull crusher,,1,3,12,,8,N/A,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you"
,B1. Incline dumbbell curl (reverse 21's),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2"
,B2. Triceps pressdown (reverse 21's),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2"
,C1. Dumbbell lateral raise,,0,3,20,,9,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,C2. Band pull-apart,,0,3,20,,9,N/A,30sec,,,,,Mind-muscle connection with rear delts
,C3. Standing calf raise,,0,3,12,,9,N/A,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,C4. Bicycle crunch,,0,3,15,,9,N/A,30sec,,,,,Focus on rounding your back as you crunch hard!
,Neck flexion/extension,,1,3,15/15,,8,N/A,1-2 min,,,,,Avoid yanking the plate with your hands
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 4,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Lower #1,Deadlift,,4,1,2,,9,87.5-92.5%,4-5 min,,,,,Top set! Aim for near PR. Keep form tight.
,Deadlift,,0,3,3,,N/A,80%,3-4 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Sumo box squat,,2,2,8,,7,N/A,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)"
,Pull-through,,0,3,12-15,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, use your glutes to move the weight"
,Leg curl,,1,3,6-8,,8,N/A,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Standing calf raise,,1,3,8-10,,9,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
Upper #1,Barbell bench press,,3,3,6,,N/A,77.5%,3-4 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up"
,Chin-up,,1,3,8-10,,8,N/A,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE"
,Standing arnold dumbbell press,,1,2,10-12,,9,N/A,2-3 min,,,,,Rotate the DBs in at the bottom and out at the top
,Chest-supported dumbbell row,,1,2,12-15,,9,N/A,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!
,Face pull,,0,2,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
,Dumbbell lateral raise,,0,2,15-20,,10,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Concentration bicep curl,,0,3,12-15,,9,N/A,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench
Lower #2,Back squat,,4,3,6,,N/A,75%,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar"
,Good morning,,2,2,10-12,,7,N/A,2-3 min,,,,,"Same as squat stance, keep shins straight, go lighter and ""feel"" hamstrings"
,Leg extension,,1,3,12-15,,9,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Standing calf raise ,,0,3,15-20,,9,N/A,1-2 min,,,,,Emphasize the mind-muscle connection
,Hip abduction,,0,3,15-20,,9,N/A,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes"
,V sit-up,,0,3,12-15,,9,N/A,1-2 min,,,,,Think about squeezing your upper and lower abs together
Upper #2,Overhead press,,3,3,3/3,,N/A,80%,3-4 min,,,,,"First 3 reps strict military press (no leg drive), last 3 reps push press (use leg drive)"
,Single-arm lat pulldown,,1,2,10-12,,9,N/A,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in"
,Barbell floor press,youtu.be/7qFp5khuoFA?t=239,2,2,12,,7,N/A,1-2 min,,,,,"Control the eccentric (don't let your elbows slam into the ground), be explosive on the way up"
,Pendlay row,,1,2,10,,7,N/A,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Pec flye,,0,2,15-20,,9,N/A,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM"
,A1. Incline shrug,,1,2,15-20,,9,N/A,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!
,A2. Bent over reverse dumbbell flye,youtu.be/qfc70k40318?t=311,1,2,15-20,,9,N/A,30sec,,,,,"Mind-muscle connection with rear delts, sweep the weight out"
,Barbell skull crusher,,1,2,8-10,,8,N/A,1-2 min,,,,,"Do these on a bench, constant tension on triceps"
Lower #3,"4"" block pull",,4,2,4,,8,N/A,4-5 min,,,,,"Do block pulls from a 4"" block (can use 45lb bumper plate as a block)"
,Bulgarian split squat,,1,2,12,,7,N/A,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads"
,Hip thrust,,1,2,8-10,,7,N/A,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight"
,Seated calf raise ,,0,3,15-20,,9,N/A,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection"
,Hanging leg raise,,0,3,10-12,,8,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Neck flexion/extension,,1,3,12/12,,8,N/A,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)"
Upper #3,"""Flat-back"" barbell bench press",,3,3,10,,7,N/A,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.
,Eccentric-accentuated pull-up,Overhead press / push press,1,2,AMRAP,,10,N/A,2-3 min,,,,,"3 second negative on every rep, maintain controlled form for all reps"
,Weighted dip,,2,2,10,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Single-arm row,,1,2,10-12,,9,N/A,1-2 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!"
,EZ bar curl,,1,3,12-15,,9,N/A,1-2 min,,,,,Focus on the mind-muscle connection
,Lean-away lateral raise,,0,2,30,,10,N/A,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom"
,Bicycle crunch,,0,2,10-12,,9,N/A,1-2 min,,,,,Keep your hands behind your ears
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 5,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
"Full Body 1: Squat, OHP",Back squat,,4,1,3,,8.5,82.5-87.5%,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Aim for near 3 rep PR.
,Back squat,,0,2,4,,N/A,80%,3-4 min,,,,,Keep back angle and form consistent across all reps
,Overhead press,,2,3,8,,N/A,75%,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Glute Ham Raise,,1,2,8-10,,8,N/A,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine"
,Helms row,,1,3,12-15,,9,N/A,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle
,Hammer curl,,0,3,20-25,,10,N/A,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!"
"Full Body 2: Deadlift, Bench Press",Deadlift,,4,3,3,,N/A,85%,3-5 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Barbell bench press,,4,1,4,,9,82.5-87.5%,4-5 min,,,,,Top set. Leave 1 rep in the tank. Aim for near 4 rep PR.
,Barbell bench press,,0,2,6,,N/A,80%,2-3 min,,,,,Quick 1 second pause on the chest on each rep
,Hip abduction,,0,3,15-20,,9,N/A,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep"
,Weighted pull-up,,1,3,5-8,,8,N/A,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar"
,Standing calf raise,,1,3,8,,9,N/A,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM"
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,3,6,,N/A,77.5%,3-4 min,,,,,Maintain tight pressure in your upper back against the bar 
,Weighted dip,,2,3,8,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
,Hanging leg raise,,0,3,10-12,,9,N/A,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty"
,Lat pull-over,,1,3,12-15,,9,N/A,1-2 min,,,,,"Can use a DB, cable/rope or band, stretch and squeeze lats!"
,Incline dumbbell curl,,1,2,12-15,,9,N/A,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm"
,Face pull,,0,4,15-20,,9,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
"Full Body 4: Deadlift, Bench Press",Pause deadlift,,4,4,2,,N/A,82.5%,3-4 min,,,,,3 second pause right after the plates come off the ground
,Pause barbell bench press,,3,3,6,,N/A,75%,2-3 min,,,,,2-3 second pause on the chest
,Pendlay row,,1,3,10,,7,N/A,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating"
,Nordic ham curl,,0,3,6-8,,8,N/A,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl"
,Dumbbell shrug,,0,3,20-25,,10,N/A,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top"
Full Body 5: Arm & Pump Day,EZ bar curl,,1,3,12,,8,N/A,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.
,A2. Floor skull crusher,,1,3,12,,8,N/A,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you"
,B1. Incline dumbbell curl (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2"
,B2. Triceps pressdown (reverse 21s),,0,3,21,,10,N/A,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2"
,C1. Dumbbell lateral raise,,0,3,20,,9,N/A,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,C2. Band pull-apart,,0,3,20,,9,N/A,30sec,,,,,Mind-muscle connection with rear delts
,C3. Standing calf raise,,0,3,12,,9,N/A,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
,C4. Bicycle crunch,,0,3,15,,9,N/A,30sec,,,,,Focus on rounding your back as you crunch hard!
,Neck flexion/extension,,1,3,15/15,,8,N/A,1-2 min,,,,,Avoid yanking the plate with your hands
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 6,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,%1RM,Rest,,,,,Notes
Lower #1,Deadlift,,4,3,4,,N/A,80%,3-4 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting"
,Sumo box squat,,2,2,8,,5,N/A,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)"
,Pull-through,,0,2,12-15,,7,N/A,1-2 min,,,,,"Can use cable/rope or band, use your glutes to move the weight"
,Leg curl,,1,3,6-8,,7,N/A,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access
,Standing calf raise,,1,2,8-10,,8,N/A,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top"
Upper #1,Barbell bench press,,3,2,7,,N/A,77.5%,3-4 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up"
,Chin-up,,1,2,8-10,,6,N/A,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE"
,Standing arnold dumbbell press,,1,2,10-12,,6,N/A,2-3 min,,,,,Rotate the DBs in at the bottom and out at the top
,Chest-supported dumbbell row,,1,2,12-15,,6,N/A,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!
,Face pull,,0,2,15-20,,8,N/A,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull"
,Dumbbell lateral raise,,0,2,15-20,,8,N/A,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers"
,Concentration bicep curl,,0,3,12-15,,8,N/A,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench
Lower #2,Back squat,,4,1,1,,9,90-95%,4-5 min ,,,,,Only tough set this week! Perfect technique!
,Low-bar back squat,youtu.be/mAXDQzCilCY,0,2,7,,N/A,75%,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar"
,Leg extension,,1,3,12-15,,8,N/A,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads"
,Standing calf raise ,,0,3,15-20,,8,N/A,1-2 min,,,,,Emphasize the mind-muscle connection
,Hip abduction,,0,3,15-20,,8,N/A,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes"
,V sit-up,,0,3,12-15,,8,N/A,1-2 min,,,,,Think about squeezing your upper and lower abs together
